customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-06-19
2,김정호,F,32,대구,2025-11-02
3,이경수,F,61,성남,2024-06-12
4,조영호,F,55,울산,2026-04-13
5,이예원,F,19,부산,2024-09-13
6,김지원,F,32,성남,2026-06-27
7,이상현,F,53,인천,2024-12-12
8,이성호,M,32,수원,2024-12-24
9,송지민,M,69,서울,2025-10-19
10,유도현,F,62,울산,2024-10-06
11,강채원,M,35,대구,2025-12-21
12,김정남,F,66,대전,2024-09-30
13,고채원,F,23,울산,2025-02-18
14,윤성호,F,40,대전,2025-02-03
15,장정식,M,69,서울,2026-06-04
16,강보람,M,52,부산,2024-07-23
17,이현준,M,23,성남,2026-03-29
18,김순옥,M,58,고양,2023-10-03
19,김성수,M,54,인천,2024-08-27
20,백영호,F,20,인천,2024-11-08
21,박중수,M,23,인천,2026-04-02
22,이상호,F,42,광주,2025-11-27
23,신영자,M,58,대전,2025-12-31
24,김현준,F,41,대전,2025-09-07
25,권준호,F,60,광주,2024-03-02
26,안영자,F,56,대구,2023-10-15
27,최영수,F,28,수원,2024-08-02
28,고경숙,M,35,성남,2024-01-02
29,박수민,F,61,대전,2026-03-30
30,이민재,F,32,서울,2023-07-14
31,양수민,M,43,광주,2025-08-24
32,박미숙,F,31,고양,2026-03-06
33,윤우진,M,31,수원,2024-03-02
34,김진호,M,59,수원,2025-10-09
35,최예지,F,34,대구,2023-12-29
36,양지현,F,65,성남,2024-10-28
37,김영호,M,65,고양,2023-11-08
38,박도윤,M,55,울산,2025-10-13
39,김예은,M,32,대구,2025-11-09
40,박예준,M,23,서울,2024-06-02
41,권정순,F,27,대구,2024-11-04
42,장성호,M,56,부산,2025-09-20
43,김도윤,M,42,고양,2023-08-10
44,김서윤,M,51,광주,2023-10-27
45,김명자,F,61,부산,2023-08-26
46,김서현,M,67,대전,2026-05-13
47,박정웅,F,36,울산,2025-12-12
48,김예은,F,47,서울,2025-04-01
49,김시우,M,50,대구,2025-04-27
50,문도윤,F,58,광주,2026-04-19
51,김영순,F,27,대전,2024-12-17
52,김서연,F,52,성남,2025-10-19
53,이서준,F,56,대전,2024-07-31
54,김지원,M,19,부산,2025-11-09
55,윤영철,M,69,광주,2023-07-31
56,남지혜,F,21,인천,2024-03-23
57,박준호,F,23,수원,2023-10-08
58,김성훈,F,66,성남,2025-06-14
59,한정웅,F,26,수원,2025-11-18
60,박서연,F,34,성남,2024-06-11
61,최유진,M,31,성남,2024-11-07
62,최영일,F,63,광주,2025-10-11
63,성도현,M,60,대전,2024-04-22
64,김준호,M,51,수원,2025-03-27
65,손상호,F,33,인천,2026-01-17
66,김재호,F,39,서울,2025-12-03
67,심서영,F,55,인천,2024-11-08
68,이정남,F,22,서울,2024-10-17
69,남진우,F,22,서울,2023-07-23
70,엄현준,M,22,성남,2023-10-30
71,박미정,F,35,수원,2025-01-01
72,양영미,F,52,대구,2024-03-10
73,정성민,M,33,수원,2026-04-19
74,장윤서,M,30,부산,2026-05-04
75,양상훈,F,60,울산,2023-12-22
76,김수빈,M,45,울산,2024-05-31
77,김은주,M,64,서울,2024-08-22
78,김하은,F,21,울산,2023-09-25
79,이서준,M,69,부산,2023-07-14
80,김현우,F,30,인천,2024-03-16
81,최영자,M,26,울산,2023-07-24
82,노정수,F,35,수원,2024-02-25
83,전은경,F,22,수원,2024-02-24
84,김성호,F,21,성남,2023-09-08
85,김선영,F,23,인천,2023-12-15
86,최준호,F,44,수원,2026-02-27
87,유서현,M,31,울산,2024-03-17
88,송춘자,F,28,울산,2023-08-16
89,유종수,F,42,광주,2025-04-08
90,문지원,M,36,울산,2024-08-26
91,한성훈,M,27,인천,2023-09-07
92,김지은,M,31,서울,2025-06-23
93,류준호,F,65,대전,2024-06-19
94,김성진,F,21,고양,2023-10-24
95,이은주,M,50,성남,2025-03-20
96,홍순옥,F,21,성남,2023-08-20
97,주민준,F,29,부산,2024-08-24
98,최성현,F,61,인천,2024-11-07
99,나민석,M,25,고양,2025-12-20
100,김시우,F,55,고양,2025-09-23
101,박정희,F,57,부산,2026-05-15
102,이진호,M,60,고양,2024-12-02
103,장미정,M,34,인천,2024-10-17
104,장순옥,M,33,광주,2026-06-26
105,김승현,M,26,광주,2025-02-16
106,배은정,M,38,부산,2024-10-18
107,전성수,F,47,고양,2024-05-30
108,최재호,F,22,성남,2025-06-30
109,장영일,F,50,광주,2024-03-28
110,이정숙,F,40,부산,2026-02-24
111,류정훈,F,41,광주,2026-05-19
112,송민재,F,46,성남,2023-09-18
113,박준혁,M,57,성남,2023-10-30
114,손영환,F,60,성남,2026-06-24
115,이민재,M,60,부산,2026-06-11
116,권종수,F,34,부산,2023-12-21
117,김지원,F,65,성남,2026-06-24
118,김선영,F,35,광주,2024-01-13
119,송정남,F,63,대전,2025-11-23
120,하춘자,F,61,광주,2026-02-14
121,손영자,M,34,서울,2025-11-06
122,김준호,F,58,울산,2025-06-07
123,김재현,M,20,서울,2025-09-25
124,김시우,M,67,대구,2024-09-24
125,이지후,M,28,수원,2023-11-11
126,김정수,M,53,서울,2024-06-05
127,이영철,F,22,대구,2025-04-14
128,전성훈,F,41,고양,2026-01-01
129,김춘자,F,45,대구,2025-12-19
130,김성현,F,37,대전,2025-03-05
131,곽영자,F,40,인천,2025-11-03
132,배예지,F,60,부산,2024-09-04
133,김성진,M,67,성남,2026-05-29
134,오지현,M,57,대구,2024-01-23
135,박하윤,F,28,대구,2026-01-13
